P_serialNumber,P_LocatorID,P_invItemId,P_subinventoryCode
S24192524202362,670801,8476,Pick
S24192524202371,670801,8476,Pick
S24192524202388,670801,8476,Pick
S24192524202405,670801,8476,Pick
S24192524202415,670801,8476,Pick
S24192524202453,670801,8476,Pick
S24193524200669,670801,8476,Pick
S24193524201056,670801,8476,Pick
S24193524201110,670801,8476,Pick
S24193524201147,670801,8476,Pick
S24193524201169,670801,8476,Pick
S24193524200505,670801,8476,Pick
S24193524200686,670801,8476,Pick
S24193524200868,670801,8476,Pick
S24193524200937,670801,8476,Pick
S24193524200943,670801,8476,Pick
S24193524200963,670801,8476,Pick
S24193524201026,670801,8476,Pick
S24193524201116,670801,8476,Pick
S24193524200552,670801,8476,Pick
S24193524200985,670801,8476,Pick
S24190524209199,670818,8476,Pick
S24190524209404,670818,8476,Pick
S24190524216841,670818,8476,Pick
S24190524217247,670818,8476,Pick
S24190524217341,670818,8476,Pick
S24190524217366,670818,8476,Pick
S24192524202215,670818,8476,Pick
S24192524202236,670818,8476,Pick
S24192524202239,670818,8476,Pick
S24192524202259,670818,8476,Pick
S24192524202266,670818,8476,Pick
S24192524202276,670818,8476,Pick
S24192524202301,670818,8476,Pick
S24192524202313,670818,8476,Pick
S24192524202321,670818,8476,Pick
S24192524202358,670818,8476,Pick
S24192524202430,670818,8476,Pick
S24192524202439,670818,8476,Pick
S24193524200592,670818,8476,Pick
S24193524200749,670818,8476,Pick
S24192524201839,670818,8476,Pick
S24192524202270,670818,8476,Pick
S24192524202306,670818,8476,Pick
S24192524202334,670818,8476,Pick
S24192524202403,670818,8476,Pick
S24193524200502,670818,8476,Pick
S24193524200597,670818,8476,Pick
S24193524200599,670818,8476,Pick
S24193524200657,670818,8476,Pick
S24193524200760,670818,8476,Pick
S24190524209123,670818,8476,Pick
S20361520100183,673248,4260,Deployed
S21246520100076,673248,4260,Deployed
S21246520100075,673248,4260,Deployed
S21278523099224,673248,4260,Deployed
S20351520100079,673248,4260,Deployed
S21278523099225,673248,4260,Deployed
S21258520101528,673248,4260,Deployed
S20206520101818,673248,4260,Deployed
S20139520100668,673248,4260,Deployed
S20063520100780,673248,4260,Deployed
S21120520101993,673248,4260,Deployed
S20197523020311,673248,4260,Deployed
S21256520100354,673248,4260,Deployed
4.46604E+16,675260,42171,Staging
4.46604E+16,675260,42171,Staging
4.46604E+16,675260,42171,Staging
4.44543E+16,675260,42171,Staging
